smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
1005,56.53147244646986,9.572766469311537,1159297825,85682597,Hoje-Taastrup,localadmin
1005,56.53147244646986,9.572766469311537,85633121,102191581,Denmark,country
1005,56.53147244646986,9.572766469311537,1394014051,85682597,Viborg,localadmin
1004,56.53150934832273,9.573002503704847,85682597,85633121,Central Jutland,region
1004,56.53150934832273,9.573002503704847,1159297825,85682597,Hoje-Taastrup,localadmin
1004,56.53150934832273,9.573002503704847,1394014051,85682597,Viborg,localadmin
1004,56.53150934832273,9.573002503704847,85633121,102191581,Denmark,country
1009,56.74231585976418,9.35459426745909,85682593,85633121,North Jutland,region
1009,56.74231585976418,9.35459426745909,1159297741,85682593,Vesthimmerland,localadmin
1009,56.74231585976418,9.35459426745909,85633121,102191581,Denmark,country
1010,56.74229140687447,9.35459426745909,85682593,85633121,North Jutland,region
1010,56.74229140687447,9.35459426745909,1159297741,85682593,Vesthimmerland,localadmin
1010,56.74229140687447,9.35459426745909,85633121,102191581,Denmark,country
1008,56.74233538414101,9.35461572513121,85682593,85633121,North Jutland,region
1008,56.74233538414101,9.35461572513121,1159297741,85682593,Vesthimmerland,localadmin
1008,56.74233538414101,9.35461572513121,85633121,102191581,Denmark,country
1012,56.74228705977559,9.354808844180281,85682593,85633121,North Jutland,region
1012,56.74228705977559,9.354808844180281,1159297741,85682593,Vesthimmerland,localadmin
1012,56.74228705977559,9.354808844180281,85633121,102191581,Denmark,country
1011,56.74227832413606,9.354572809786971,85682593,85633121,North Jutland,region
1011,56.74227832413606,9.354572809786971,1159297741,85682593,Vesthimmerland,localadmin
1011,56.74227832413606,9.354572809786971,85633121,102191581,Denmark,country
1013,56.74229279639194,9.354744471163924,85682593,85633121,North Jutland,region
1013,56.74229279639194,9.354744471163924,1159297741,85682593,Vesthimmerland,localadmin
1013,56.74229279639194,9.354744471163924,85633121,102191581,Denmark,country
986,56.67026572360926,9.487421946032715,85682597,85633121,Central Jutland,region
986,56.67026572360926,9.487421946032715,85633121,102191581,Denmark,country
986,56.67026572360926,9.487421946032715,1394014051,85682597,Viborg,localadmin
986,56.67026572360926,9.487421946032715,1159297825,85682597,Hoje-Taastrup,localadmin
1020,55.82829176071034,10.09762023291015,85633121,102191581,Denmark,country
1020,55.82829176071034,10.09762023291015,85682597,85633121,Central Jutland,region
1020,55.82829176071034,10.09762023291015,1394014087,85682597,Hedensted,localadmin
1020,55.82829176071034,10.09762023291015,1159297807,85682597,Syddjurs,localadmin
1015,55.85400019999999,10.0574639,1159297815,85682597,Fredensborg,localadmin
1015,55.85400019999999,10.0574639,85682597,85633121,Central Jutland,region
1015,55.85400019999999,10.0574639,1394014033,85682597,Odder,localadmin
1015,55.85400019999999,10.0574639,85633121,102191581,Denmark,country
1002,57.336665429073584,9.773339103179932,85682593,85633121,North Jutland,region
1002,57.336665429073584,9.773339103179932,85633121,102191581,Denmark,country
1002,57.336665429073584,9.773339103179932,1394014153,85682593,Hjorring,localadmin
1002,57.336665429073584,9.773339103179932,1159297775,85682593,Ringsted,localadmin
1038,55.95202670506926,10.44038541645508,1159297815,85682597,Fredensborg,localadmin
1038,55.95202670506926,10.44038541645508,1394014033,85682597,Odder,localadmin
1038,55.95202670506926,10.44038541645508,85682597,85633121,Central Jutland,region
1038,55.95202670506926,10.44038541645508,85633121,102191581,Denmark,country
1062,56.36729500000001,9.209052,85682597,85633121,Central Jutland,region
1062,56.36729500000001,9.209052,85633121,102191581,Denmark,country
